"filename", "language", "PostCSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\landing page\LandingPage.js", "JavaScript", 0, 613, 0, 54, 45, 712
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\layout\app-layout.css", "PostCSS", 86, 0, 0, 1, 19, 106
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\layout\app-layout.js", "JavaScript", 0, 176, 0, 6, 25, 207
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\missing\Missing.js", "JavaScript", 0, 39, 0, 0, 6, 45
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\search result\SearchResult.css", "PostCSS", 12, 0, 0, 0, 2, 14
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\pages\search result\SearchResult.js", "JavaScript", 0, 9, 0, 0, 3, 12
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\store\store.js", "JavaScript", 0, 144, 0, 0, 8, 152
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\utils\deleteAvatar.js", "JavaScript", 0, 38, 0, 0, 11, 49
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\utils\getAvatarUrl.js", "JavaScript", 0, 8, 0, 0, 5, 13
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\utils\getUser.js", "JavaScript", 0, 21, 0, 1, 8, 30
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\utils\setUserDetails.js", "JavaScript", 0, 15, 0, 9, 6, 30
"c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\utils\updatePassword.js", "JavaScript", 0, 25, 0, 0, 7, 32
"Total", "-", 2535, 7721, 1, 444, 1356, 12057
