Date : 2026-07-29 12:45:45
Directory : c:\Users\HP\Documents\Courses\react.js\trendy-blog\src
Total : 149 files,  10932 codes, 476 comments, 1457 blanks, all 12865 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        133 |      8,098 |        386 |        984 |      9,468 |
| PostCSS    |         15 |      2,833 |         90 |        473 |      3,396 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Notification.js                     | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\People.js                           | JavaScript |         21 |          0 |          2 |         23 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\ProfileIcon.js                      | JavaScript |         18 |          0 |          2 |         20 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Settings.js                         | JavaScript |         20 |          0 |          2 |         22 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\NavIcons\Stats.js                            | JavaScript |         15 |          0 |          2 |         17 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Pen.js                                       | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\RightArrow.js                                | JavaScript |         23 |          0 |          2 |         25 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\SearchIcon.js                                | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Share.js                                     | JavaScript |         21 |          0 |          2 |         23 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\TrendingUp.js                                | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\Upload.js                                    | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\HP\Documents\Courses\react.js\trendy-blog\src\icons\User.js                                      | JavaScript |         15 |          0 |          2 |         17 |
